verbIdx,nounIdx
1,2369
4,2050
7,3032
13,437
16,2723
21,468
24,204
30,481
36,352
37,167
46,1936
47,274
49,204
64,1470
68,475
75,473
77,256
82,285
97,2644
98,2098
102,41
108,3051
111,38
111,2349
115,1108
120,124
120,124
128,1918
135,299
139,114
147,388
148,72
152,384
156,2930
157,408
157,437
157,909
160,2588
166,383
168,368
169,397
189,615
190,112
190,112
192,46
197,450
197,962
197,962
197,962
199,1285
215,2684
222,742
223,268
237,41
237,178
246,404
257,177
271,2534
284,1851
287,184
292,370
293,3067
296,1982
297,1902
301,329
301,329
301,596
301,993
301,1037
301,1738
301,2440
301,2468
302,218
305,1527
309,3062
311,2024
312,2007
316,2186
316,2186
316,2186
316,2748
316,3016
318,510
318,962
318,962
318,1244
318,2525
318,2605
318,2873
319,2064
331,2016
331,2660
344,876
348,830
348,1074
348,1176
348,2851
354,2536
357,652
357,652
357,652
357,2141
358,2349
361,1063
363,2798
366,706
366,1386
366,2834
367,1925
371,860
374,1929
377,2371
378,410
379,749
379,1528
379,2349
379,2349
385,2254
385,2440
385,2440
385,2440
385,2440
385,2468
385,2468
387,663
387,1464
387,1591
387,1591
387,1824
387,2157
387,2158
387,2251
387,2468
387,2468
387,2468
387,2588
387,2851
387,2869
387,3088
392,523
392,1929
392,2171
399,1074
399,2084
399,2405
400,1026
405,2426
409,462
411,2639
414,1013
414,3067
414,3067
416,2528
421,649
425,2815
434,2605
434,2951
442,2302
447,1633
448,2726
454,2597
456,2986
458,79
458,892
458,1575
458,2229
458,2357
459,1229
460,1624
463,821
463,1553
463,2074
464,1726
466,1575
466,1616
466,1743
467,817
467,1633
475,2896
482,1689
482,1829
482,2014
486,1924
487,639
488,1026
488,1031
488,1109
488,1142
490,742
492,1686
497,1889
497,1957
497,1957
497,2314
497,2834
497,3007
498,1513
499,697
501,1546
502,945
503,1228
520,3007
521,525
521,1848
521,1848
522,1604
526,2772
527,1114
537,2738
538,1654
539,1185
539,2363
543,1960
543,3084
556,1436
557,1467
558,889
559,636
560,2528
569,1056
578,2775
579,963
579,1168
579,1309
579,1335
579,1419
579,1454
579,1640
579,1694
579,1694
579,2057
579,2386
579,2386
579,2534
579,2821
579,2933
579,2975
581,1474
581,1756
585,1046
585,2713
594,1382
596,605
596,605
596,1050
596,1086
596,1210
596,1335
596,1372
596,2220
596,2870
596,2949
596,2949
596,3071
597,2042
598,226
598,2302
602,2686
603,525
603,1311
603,1922
603,2690
604,886
608,607
608,2712
610,500
616,663
625,1116
625,1388
625,2151
626,1683
626,3014
635,832
635,2681
637,711
639,1743
640,2195
640,2556
640,2556
643,1271
644,892
644,2848
649,2601
655,690
655,878
655,1022
655,1608
657,2905
665,890
665,985
665,997
665,1209
665,2207
665,2307
665,2683
665,2992
672,850
683,1833
694,572
703,587
703,722
703,1335
703,2542
703,2834
707,868
708,2773
708,2773
708,3067
709,2851
716,2032
716,2121
719,1219
721,573
721,2194
725,1088
728,852
728,2575
732,1780
736,2425
738,2052
740,508
747,1811
753,1696
753,2975
756,1095
758,711
758,1657
762,2979
763,799
763,1104
763,1747
769,1122
769,1736
770,1114
772,855
775,7
775,1804
775,1846
777,1271
777,1274
777,1358
778,280
778,615
780,1844
784,616
784,616
784,616
784,649
784,649
784,649
784,649
784,649
784,649
784,649
784,649
784,649
784,1168
784,2216
784,2479
784,2687
784,2856
784,2856
784,2856
784,2952
784,2968
790,829
793,836
794,2297
794,2816
800,1271
801,1145
801,1735
806,389
809,909
810,2280
811,1096
813,2057
815,760
818,1335
818,2021
821,997
821,2088
823,605
824,994
824,2268
825,3019
833,1104
835,578
835,964
835,1160
835,2479
835,2512
835,3025
838,1994
838,2024
838,2024
839,2979
840,587
842,698
845,553
847,1016
848,568
848,1616
848,1694
848,2639
848,3007
849,2928
850,1565
851,2024
852,2834
859,1445
867,2185
868,186
868,1061
868,1756
868,1804
868,2422
868,2836
868,2882
868,3058
870,1013
870,1172
870,1304
870,1839
870,1930
870,2064
870,2137
870,2166
870,2499
871,2940
880,564
880,967
880,1571
880,2194
884,1295
885,233
885,2851
885,3007
890,2605
891,660
891,1230
891,1999
894,849
895,2323
